"sku","title","description","primary_image","retail_price","tags","characteristics","nutrition"
"078929","Cheesy Herby Biscuits","At a big, holiday dinner, every dish has its role. The role of the protein is to act as the anchor, to center the plate 
and give it focus. The role of the veggie side dish is to provide a complementary taste and textural contrast to 
the protein. And of course, one of the most important roles is that of¿ well¿ the roll! Whether it's in the form 
of a dinner roll, mini baguette, or biscuit, the always-stalwart starch is a vital, hearty, gravy-sopping component 
to any holiday meal-and Trader Joe's Cheesy Herby Biscuits serve as a sensationally savory way to ensure 
this role is filled at your feast. 

Made with buttery, flaky dough, flavored with aromatic herbs like rosemary and thyme, and studded with 
shreds of rich Parmesan and Cheddar, our Cheesy Herby Biscuits arrive at our store frozen, so they're easy 
to grab ahead of time without worrying they'll get stale before the big day. They also taste best when baked 
directly from frozen (no need to proof!), in an un-preheated oven set to 375°F for about 30 minutes-the 
gradual heating helps the Biscuits retain their buttery, cheesy texture. Flaky, flavorful, and formidable, Trader 
Joe's Cheesy Herby Biscuits are a fantastic way to fill the roll role at Thanksgiving, the year-end holidays, or 
any other get-together where food is at the forefront. 

Cheesy Herby Biscuits","https://www.traderjoes.com/content/dam/trjo/products/m20602/78929.png","4.99","[""Crack a Beer"",""Effortless Entertaining"",""Fall Faves"",""Family Style"",""Let's Bake!"",""Put An Egg On It""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1 biscuit (55g)"",""calories_per_serving"":""190 ""}]"
"078523","Spicy Farfalle Pasta with Italian Chicken Sausage","Over the years, we've really grown our selection of Trader Joe's Italian-style pastas. In our freezers, you'll find a 
variety of noodle shapes and sauce options, from Spaghetti Carbonara [sku 75759] and Fettuccine Alfredo [sku 
41423] to Rigatoni Alla Contadina [sku 74185] and Penne Arrabbiata [sku 87813]. One thing these products all 
have in common-aside from being incredibly delicious values-is that they all serve more than one person 
(unless you're super hungry!). We decided it was time we created a single serving, frozen pasta dish, for when 
you're craving a hassle-free meal, but cooking just for one.

It starts with durum wheat Farfalle, a pasta shape not yet featured among our frozen pastas. These ""bowties"" 
are covered in a rich & spicy tomato sauce and paired with crumbles of savory Italian Chicken Sausage. To 
prepare, simply cook the Pasta from frozen according to the package instructions, plate it up, and enjoy! 

This Pasta dish is Spicy, but you're craving even more heat, try adding a spoonful of Italian Bomba Hot Pepper 
Sauce [sku 61934]. And if you want to add some fresh flair, we recommend some torn leaves of Organic Basil 
[sku 67343]. With or without these extras, you're in for a tasty meal... and we guarantee you won't have to worry 
about the leftovers. You'll find 12-ounce packages of Trader Joe's Farfalle Pasta with Italian Chicken Sausage 
in our freezers, every day.

Spicy Farfalle Pasta with Italian 
Chicken Sausage","https://www.traderjoes.com/content/dam/trjo/products/m20602/78523.png","3.49","[""Alfresco Dining"",""Dinner Hack"",""Mouth On Fire"",""Pair With Wine""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":null,""serving_size"":""1 container (340g)"",""calories_per_serving"":""420 ""}]"
"078810","Cheesy Creamy Greens & Veggies","""Can you please put the cheese back and get some greens instead?"" asks the veggie lover of the veggie skeptic 
as they peruse their neighborhood Trader Joe's. ""If loving cheese is wrong, I don't want to be right!"" the 
skeptic cries, appalled by such a demand. Suddenly, out of the corners of their eyes, they see it: Cheesy Creamy 
Greens & Veggies. They share a glance. They smile. They realize this rich, Veggie-laden delight is the culinary 
peacemaker of their dreams. 

Cheesy Creamy Greens & Veggies start on a luxurious note with a butter, flour, and nutmeg roux. Onions, 
garlic, and black pepper lend aromatics and spice, while dried porcini mushrooms contribute deep umami. 
Then come provolone and mozzarella. Melty and salty-sweet, they expertly put the ""cheese"" in Cheesy Creamy 
Greens & Veggies. And, of course, cooked spinach finds cruciferous comrades in earthy kale and crisp Brussels 
sprouts. The result is a rich, textured, and Veggie-packed side dish or quick dinner that heats from frozen in 
eight minutes or less. Each box yields about two cups prepared, so there's plenty to satisfy even the pickiest of 
eaters. You'll find Cheesy Creamy Greens & Veggies only during the holiday season-pick up a box and bridge 
the veggie divide while supplies last!

Cheesy Creamy Greens & Veggies","https://www.traderjoes.com/content/dam/trjo/products/m20602/78810.png","4.49","[""Dinner Hack"",""Effortless Entertaining""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":null,""serving_size"":""4 oz (112g/ 1/4 package)"",""calories_per_serving"":""200 ""}]"
"078275","Teriyaki Chicken Bowl","Rich and juicy with savory-sweet flavor, it's no wonder that Trader Joe's BBQ Teriyaki Chicken [sku 74961] has 
been a customer favorite since 2004. It's a complete meal alongside white rice and steamed veggies, but on days 
you can't be bothered to take out the rice cooker and the steamer basket, Teriyaki Chicken Bowls make for an 
extra speedy and equally delicious alternative.

Much like the classic Japanese preparations of Teriyaki Chicken, we like to keep it simple. Establishing the 
foundation is chunks of dark Chicken thigh meat-think dense and juicy, with especially Chicken-y flavor. As 
for the sauce, ginger, garlic, and lime juice lend aromatic tang, while soy sauce, toasted sesame oil, and sugar 
contribute quintessentially sweet, umami-laden Teriyaki flavor. 

To make it a complete meal, we lay the Chicken over a bed of Calrose rice, alongside broccoli, carrots, and bok 
choy. It's an all-in-one lunch or dinner that heats from frozen in the microwave in about four minutes. If you've 
got a second to spare, garnish your Bowl with sesame seeds and sliced green onions, or a squirt of Sriracha 
Sauce [sku 50828] for a spicy kick. 

Teriyaki Chicken Bowl","https://www.traderjoes.com/content/dam/trjo/products/m20602/78275.png","4.79","[""Alfresco Dining"",""Dinner Hack""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":null,""serving_size"":""1 bowl (319g)"",""calories_per_serving"":""370 ""}]"
"076535","Roti with Thai Red Curry","Roti canai is a flatbread and curry dish that originated in India in the 1800s. In the decades after its inception, 
Southeast Asian countries like Brunei, Indonesia, Malaysia, Singapore, and Thailand developed their own 
variations. And now, Trader Joe's takes a spin on this classic combination with our Roti with Thai Red Curry.

You'll find three Roti in each box. They're made with wheat flour, sea salt, and rice bran oil & shortening for 
layered, flaky flatbreads. For the Red Curry, we mix together rich coconut milk with a considerably spicy Red 
Curry paste containing traditional Thai seasonings like lemongrass, birds eye chiles, spur chiles, Thai basil, 
and galangal (a cooling, pine-like spice, if you're unfamiliar). We finish things off with a light-yet-filling mix of 
green eggplant, cabbage, and potatoes. We'd say this vegan duo is ro-teeming with bright, complex flavors and 
wonderfully complementary textures. 

To prepare it, warm the Roti on a skillet, in the oven, or in the air fryer according to package directions. Then, 
thaw the Curry packet in warm water for 1-2 minutes before heating through in the microwave or on the stove. 
To eat it, tear off pieces of the Roti and use them to scoop up the Curry, or pour the Curry on top of the Roti. 
Enjoy as a quick and filling snack, or make it a flavorful dinner alongside a glass of zesty Emma Reichart Dry 
Riesling [sku 61437] or a can of light Simpler Times Lager [sku 62590].

Roti with Thai Red Curry","https://www.traderjoes.com/content/dam/trjo/products/m20602/76535.png","4.29","[""Crack a Beer"",""Dinner Hack"",""Feeling Adventurous"",""In Lieu of Pizza"",""Mouth On Fire""]","[""Vegan""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1 package (300g)"",""calories_per_serving"":""830 ""}]"
"033700","Mushroom Risotto","Risotto comes from the Italian word ""riso"", which means ""rice"" in English. Now, you can't talk about risotto 
without mentioning its main ingredient, which is rice of course. Since the introduction of the grain, rice 
farming has been a major part of life for many Italian families. 

Trader Joe's Mushroom Risotto is imported from Italy and made by one of the best. The dish is authentic, 
creamy, savory, and extremely delicious! The ""riso"" is parcooked and combined with cream, slices of mushroom, 
onion, garlic, and extra Porcini mushroom seasoning. For a complete Italian dinner, light some candles, dim 
the lights and offer Trader Joe's Mushroom Risotto with a side of Focaccia Bread [sku 64435] and Balsamic 
Vinegar [sku 58036] or Italian President's Reserve [sku 30090] for dipping. Make the Risotto the star on the 
table as a main entree with your favorite protein and Caesar Salad [sku 05161]. 

Make your way to the freezers to enjoy this 16-ounce taste of Italy. 

 *Please check QIL to confirm current pricing.

Mushroom Risotto","https://www.traderjoes.com/content/dam/trjo/products/m20602/33700.png","3.79","[""Alfresco Dining"",""Date Night"",""Dinner Hack"",""Pair With Wine""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1 cup (140g)"",""calories_per_serving"":""160 ""}]"
"075292","Coffee Panna Cotta","Crème caramel, flan, rožata, purin, pudin karamel-the many variations of caramel-covered custard have 
many names around the world. Here at Trader Joe's, our creamy, coffee-imbued version goes by Coffee Panna 
Cotta, and is available in our refrigerated section for a limited time. 

Our Panna Cotta (Italian for ""cooked cream"") is made for us in Texas by a Portugese company that specializes in 
the dessert. Our supplier combines the Panna Cotta starting lineup of cream, milk, and sugar with a generous 
amount of Coffee powder for intense Coffee flavor. While many Panna Cottas are gelatinous in texture, ours is 
decidedly creamy and more texturally akin to flan. Caramelized syrup sits in the bottom of the two individual 
foil cups in each package, finishing off the Panna Cotta with rich and toasty sweetness. 

To serve, peel back the lid, carefully run a knife around the perimeter of the Panna Cotta, flip it upside down 
onto a plate, and enjoy. Serve it with a glass of Chocolate Whole Milk [sku 61673] for a mocha-inspired dessert. 
Or, pay homage to this Panna Cotta's Portugese roots by pairing it with luscious and toasty Morgado Tawny 
Port [sku 47763]. 

Coffee Panna Cotta","https://www.traderjoes.com/content/dam/trjo/products/m20604/75292.png","3.49","[""Alfresco Dining"",""Date Night"",""Feeling Fancy"",""Treat Yourself""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":""Per serving"",""serving_size"":""1 piece (100g)"",""calories_per_serving"":""230 ""}]"
"079109","Savory Squash Pastry Bites","Entertaining guests? How about just wondering what's for dinner? Our newest frozen appetizer answers both 
questions with fanciful fall flair. Introducing Trader Joe's Savory Squash Pastry Bites!

First things first-unwrap the Pastry Bites and place them on a baking sheet. After about 12 minutes in a 
400°F oven (or half that time in an air fryer), you'll be rewarded with a buttery Pastry crust teeming with a 
pumpkin & butternut Squash-forward filling, along with a Savory symphony of flavors courtesy of not one, but 
four different cheeses-namely, creamy mascarpone and ricotta, tangy feta, and pleasantly sharp Parmesan. 
Finished with chopped chives, these Pastry Bites lend an air of elegance to an appetizer platter or buffet spread 
for a harvest fête (don't forget the bubbly!), and are equally at home on a weeknight dinner plate alongside a 
crisp green salad topped with crumbled White Stilton® Cheese with Apple & Pear [sku 79157]. 

While these Savory Squash Pastry Bites may look upscale, their price is, happily, not! You'll find them in the 
freezers at your neighborhood Trader Joe's, for a limited time. 

Savory Squash Pastry Bites","https://www.traderjoes.com/content/dam/trjo/products/m20601/79109.png","5.49","[""Alfresco Dining"",""Effortless Entertaining"",""Fall Faves"",""Finger Food""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":""Per serving"",""serving_size"":""4 bites (85g)"",""calories_per_serving"":""220 ""},{""display_sequence"":1,""panel_id"":2,""panel_title"":""Per container"",""serving_size"":""4 bites (85g)"",""calories_per_serving"":""660 ""}]"
"078836","Gluten Free Cheese Pizza","Trader Joe's sells Gluten Free Pizza Dough [sku 64663] if you're in the mood to make a pie from scratch. But if 
you're looking for a ready-to-bake, gluten free solution, look no further than Trader Joe's Gluten Free Cheese 
Pizza with a Cauliflower Crust. 

You've seen this kind of pie before, even in our freezers, so we can't exactly claim it's revolutionary. We can 
say that the delicious Gluten Free crust (first ingredient: Cauliflower) develops a nice crispness in just 10-12 
minutes in the oven. It handily delivers our tangy tomato sauce, and melty mozzarella & provolone cheeses 
right to your mouth. 

Perhaps what's most impressive about this Gluten Free Cheese Pizza is the possibilities. While we've engineered 
this pie to be enjoyable just as it is, it's also a blank canvas for your own pizza creativity. And with a Trader Joe's 
store full of toppings, it's safe to say, the possibilities are endless! 

Gluten Free Cheese Pizza with a 
Cauliflower Crust","https://www.traderjoes.com/content/dam/trjo/products/m20602/78836.png","5.49","[""Alfresco Dining"",""Crack a Beer"",""Dinner Hack"",""Family Style"",""Game Night"",""Rain or Shine""]","[""Gluten Free""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":""Per serving"",""serving_size"":""1/2 pizza (164g)"",""calories_per_serving"":""390 ""},{""display_sequence"":1,""panel_id"":2,""panel_title"":""Per Container"",""serving_size"":""1/2 pizza (164g)"",""calories_per_serving"":""780 ""}]"
"078549","Coffee Mochi","Something's brewing in the Trader Joe's Freezer section. They're bite-sized, handheld, and elliptically shaped. 
They've got a chewy exterior and lush ice cream center. They taste like your morning cup of joe. Why, they're 
Coffee Mochi, here for a limited time!

Unlike other Mochi on the market made with synthetically derived flavors and high fructose corn syrup, 
the frozen filling in Trader Joe's Coffee Mochi gets its bold Coffee flavor and color from Coffee itself, and 
possesses a balanced sweetness thanks to real cane sugar. A hint of cocoa gives the sweet, chewy rice flour 
dough its rich brown hue, and adds a touch of chocolate on the palate to round out the robust Coffee notes. 

Coffee Mochi make for a delightful handheld pick-me-up that's best enjoyed after thawing for 3-4 minutes. 
That may seem like a long time, but you'll be hard pressed to eat just one anyway, so why not assemble a variety 
platter of these gluten free treats while you're at it? Reach for Vanilla [sku 64500], Strawberry [64499], and 
Green Tea [sku 64669] for a sweet, fruity, and aromatic Mochi mix! 

Coffee Mochi","https://www.traderjoes.com/content/dam/trjo/products/m20604/78549.png","4.99","[""Finger Food"",""Heat Wave"",""Treat Yourself""]","[""Gluten Free"",""Kosher""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":""Per piece"",""serving_size"":""6 pieces (192g)"",""calories_per_serving"":""70 ""},{""display_sequence"":1,""panel_id"":2,""panel_title"":""Per container"",""serving_size"":""6 pieces (192g)"",""calories_per_serving"":""420 ""}]"
