name,description,product_variants,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,category,sub-category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
Manchuela Bobal,"(Cert. Organic) 100% Bobal. Cherry red with violet undertones. Varietal notes of wild mountain herbs, black and red fruit, a touch of spice and balsamic; minerals predominate. Fresh, fleshy and intense. The finish is consistent and long, leaving a refreshing acidity. ",,1724881,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2443171/83e49a457ff7143892577.png?1663219339,,https://johnsonbrothers.storefronts.site/p/H4O6T,,,,11 Pinos,Wine,Still,Red,,johnson brothers,The Sorting Table,Spain,Alcohol,Wine,Still,Red
Lisboa Opulent Tinto,"Intense Ruby color. Complex and Opulent in the nose, with fruity (ripe red Fruits) And Spicy Aromas. Elegant, with a velvety texture and very well balanced this is a round bodied wine with smooth tannins long and pleasant finish.",,1805867,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2462153/b867163c12f28eb456ada.png?1665406849,,https://johnsonbrothers.storefronts.site/p/9U5RP,,,,12 Knights,Wine,Still,Red,,johnson brothers,Milton's Distributing Co Inc,Portugal,Alcohol,Wine,Still,Red
Delle Venezie Pinot Grigio,"The Alps defend Delle Venezie D.O.C., Italy from chilled northern winds, while heat from the Mediterranean creates the ideal climate for harvesting pure and vibrant grapes. Meticulously crafted to highlight the best of its iconic terroir, 13 Celsius Pinot Grigio is full, complex and crisp, boasting flavors of luscious pear, ripe tropical fruit with a refreshing, lively finish.",,1160603,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246859/9c8962ae00cb034746827.png?1649399458,,https://johnsonbrothers.storefronts.site/p/0VIBZ,,,,13 Celsius,Wine,Still,White,,johnson brothers,The Wine Group,Italy,Alcohol,Wine,Still,White
Sauvignon Blanc Marlborough,"13 Celsius Sauvignon Blanc is crafted from exceptional grapes grown in the world-renowned region of Marlborough, New Zealand to produce a wine that is pure and expressive. We’ve delicately finessed the iconic Marlborough character to appeal to connoisseurs who expect extraordinary wine. The result is sublime elegance with vibrant aromatic of citrus, lychee, and sweet herbs. The crisp edge of minerality teases the refined acidity with a refreshing finish that defines iconic Marlborough Sauvignon Blanc.",,1215567,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246880/79d471531f6e9fd7f624d.png?1649399475,,https://johnsonbrothers.storefronts.site/p/MVHZ3,,,,13 Celsius,Wine,Still,White,,johnson brothers,The Wine Group,New Zealand,Alcohol,Wine,Still,White
Red Blend Lake County,"13 Rams from United States, provided by Shannon Ridge Family of Wines. Enjoy the unique taste and quality.",,1746635,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2546645/c1c3eb1764636a32a85dd.png?1675940528,,https://johnsonbrothers.storefronts.site/p/66IS6,,,,13 Rams,Wine,Still,Red,,johnson brothers,Shannon Ridge Family of Wines,United States,Alcohol,Wine,Still,Red
13th Century Bourbon,"Appearance: great amber color with legs left on the glass. 

Aroma: nice sweet smell, with slight spiciness. Notes of toasted oak come through. 

Taste: enjoyable sweetness and mouthfeel, with an almost buttery profile. Notes of caramel and vanilla, as well as some spicy, earthy tones, like slight tobacco. Finish: nice long finish with a silky mouthfeel and subtle alcohol burn. The warming sensation is present when swallowed.",,1964564,3,1.75,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246895/ddf557403368938aa9947.png?1649401010,,https://johnsonbrothers.storefronts.site/p/2YN2W,,,,13th Century Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,13th Century,United States,Alcohol,Spirit,Whiskey,Bourbon
13th Century Bourbon,"Appearance: great amber color with legs left on the glass. 

Aroma: nice sweet smell, with slight spiciness. Notes of toasted oak come through. 

Taste: enjoyable sweetness and mouthfeel, with an almost buttery profile. Notes of caramel and vanilla, as well as some spicy, earthy tones, like slight tobacco. Finish: nice long finish with a silky mouthfeel and subtle alcohol burn. The warming sensation is present when swallowed.",,1958962,3,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246895/ddf557403368938aa9947.png?1649401010,,https://johnsonbrothers.storefronts.site/p/2YN2W,,,,13th Century Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,13th Century,United States,Alcohol,Spirit,Whiskey,Bourbon
2024 Release Bourbon Reserve American Bourbon Whiskey,"Color: Dark amber.

Nose: Oak, sweet corn, floral, and dried fruit.

Taste: Caramel, vanilla, and toffee with long lingering finish.",,1324299,3,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3222061/3d7485cdf08dd1313d4f5.png?1721295432,,https://johnsonbrothers.storefronts.site/p/6F0XM,,,,13th Century Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,13th Century,United States,Alcohol,Spirit,Whiskey,Bourbon
American Bourbon Whiskey,"13th Century Whiskey from United States, provided by 13th Century. Enjoy the unique taste and quality.",,1097184,3,1.75,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/420380/bb69a78f9da8132629bd2.png?1538541380,,https://johnsonbrothers.storefronts.site/p/L1D8J,,,,13th Century Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,13th Century,United States,Alcohol,Spirit,Whiskey,Bourbon
American Rye Whiskey,"Color: Dark amber.

Nose: Oak and rye bread. 

Taste: Caramel and citrus on the front end. A sweet body with baking spices – nutmeg and cinnamon on the finish.",,1203873,3,1.75,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247009/bb8cbdb3e613143d7f62f.png?1649407794,,https://johnsonbrothers.storefronts.site/p/S57UD,,,,13th Century Whiskey,Spirit,Whiskey,Other,,johnson brothers,13th Century,United States,Alcohol,Spirit,Whiskey,Other
American Rye Whiskey,"Color: Dark amber.

Nose: Oak and rye bread. 

Taste: Caramel and citrus on the front end. A sweet body with baking spices – nutmeg and cinnamon on the finish.",,1788085,3,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247009/bb8cbdb3e613143d7f62f.png?1649407794,,https://johnsonbrothers.storefronts.site/p/S57UD,,,,13th Century Whiskey,Spirit,Whiskey,Other,,johnson brothers,13th Century,United States,Alcohol,Spirit,Whiskey,Other
American Single Malt Whiskey,"Color: Dark amber.
 
Nose: Herbal aromas with cinnamon, oak, and butterscotch.
 
Taste: Char forward oak & smoke flavors on the front end, caramel and mild spice in the body with an earthy finish.",,1625584,3,1.75,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3236443/4010e8b1db7b2e042c579.png?1722269751,,https://johnsonbrothers.storefronts.site/p/I2A0B,,,,13th Century Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,13th Century,United States,Alcohol,Spirit,Whiskey,Bourbon
American Single Malt Whiskey,"Color: Dark amber.
 
Nose: Herbal aromas with cinnamon, oak, and butterscotch.
 
Taste: Char forward oak & smoke flavors on the front end, caramel and mild spice in the body with an earthy finish.",,1926407,3,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3236443/4010e8b1db7b2e042c579.png?1722269751,,https://johnsonbrothers.storefronts.site/p/I2A0B,,,,13th Century Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,13th Century,United States,Alcohol,Spirit,Whiskey,Bourbon
Bourbon Cream Liqueur,"13th Century Whiskey from United States, provided by 13th Century. Enjoy the unique taste and quality.",,1376395,12,1.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2557232/9e87141beb32a9015f1a5.png?1677239162,,https://johnsonbrothers.storefronts.site/p/SKWFY,,,,13th Century Whiskey,Spirit,Liqueur,Cream/Dairy,,johnson brothers,13th Century,United States,Alcohol,Spirit,Liqueur,Cream/Dairy
Coffee Cream Liqueur,"13th Century Whiskey from United States, provided by 13th Century. Enjoy the unique taste and quality.",,1647200,12,1.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2557231/209b62bffb67888e07b7b.png?1677239159,,https://johnsonbrothers.storefronts.site/p/3GPZZ,,,,13th Century Whiskey,Spirit,Liqueur,Cream/Dairy,,johnson brothers,13th Century,United States,Alcohol,Spirit,Liqueur,Cream/Dairy
Limited Edition Barreled In Rare 30 Gallon Casks Barrel Strength American Straight Bourbon Whiskey,"13th Century Whiskey from United States, provided by 13th Century. Enjoy the unique taste and quality.",,1724767,3,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2343779/09caf414cd061c8cdd15b.png?1655383427,,https://johnsonbrothers.storefronts.site/p/AUTNM,,,,13th Century Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,13th Century,United States,Alcohol,Spirit,Whiskey,Bourbon
Bubbles Columbia Valley,"Our 14 Hands white wine sparkler has delicate flavors of apples and citrus with lively acidity, which makes it a perfect match for a variety of appetizers and entrees.",,1365613,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608322/b59b35c52d30a417114ec.png?1682084529,,https://johnsonbrothers.storefronts.site/p/NWT0R,,,,14 Hands Winery,Wine,Sparkling,White,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Sparkling,White
Cabernet Sauvignon Columbia Valley,"14 Hands Cabernet Sauvignon is a bright, juicy red featuring aromas of blueberries and currants with subtle hints of dried herbs. Red berry flavors are complemented by a touch of spicy oak and accentuated by refined tannins.",,1099551,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608479/25bd0db0613ebf4f02152.png?1682312213,,https://johnsonbrothers.storefronts.site/p/0FZS5,,,,14 Hands Winery,Wine,Still,Red,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,Red
Chardonnay Columbia Valley,"This lighter style Chardonnay begins with bright aromas of sweet lime and pears with a touch of baking spice. Refined fruit flavors are accentuated by ample acidity that give way to subtle hints of butter, caramel and vanilla.",,1212912,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608332/48279f5a9b6d4f499b455.png?1682084541,,https://johnsonbrothers.storefronts.site/p/76L0M,,,,14 Hands Winery,Wine,Still,White,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,White
Hot To Trot Red Blend Columbia Valley,"This polished red wine offers aromas of cherry, red currant and tea. Flavors of cherry pie, ripe berries and plums, supported by a frame of refined tannins, give way to subtle notes of baking spice on a persistent finish.",,1872159,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608080/c10ce60606a5f819a7606.png?1682074800,,https://johnsonbrothers.storefronts.site/p/95X41,,,,14 Hands Winery,Wine,Still,Red,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,Red
Hot To Trot Red Blend Columbia Valley,"This polished red wine offers aromas of cherry, red currant and tea. Flavors of cherry pie, ripe berries and plums, supported by a frame of refined tannins, give way to subtle notes of baking spice on a persistent finish.",,1820210,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608080/c10ce60606a5f819a7606.png?1682074800,,https://johnsonbrothers.storefronts.site/p/95X41,,,,14 Hands Winery,Wine,Still,Red,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,Red
Hot To Trot Red Blend Columbia Valley,"This polished red wine offers aromas of cherry, red currant and tea. Flavors of cherry pie, ripe berries and plums, supported by a frame of refined tannins, give way to subtle notes of baking spice on a persistent finish.",,1987803,12,12.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608080/c10ce60606a5f819a7606.png?1682074800,,https://johnsonbrothers.storefronts.site/p/95X41,,,,14 Hands Winery,Wine,Still,Red,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,Red
Hot To Trot White Blend,"This spirited white wine reveals vibrant aromas of white stone fruits and citrus, and mouthwatering flavors of fresh apple, pear, and melon. The flavors race smoothly across your palate creating a juicy, refreshing finish.",,1349770,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608044/deff78b454fdd87487558.png?1682074773,,https://johnsonbrothers.storefronts.site/p/ROY9N,,,,14 Hands Winery,Wine,Still,White,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,White
Merlot Columbia Valley,"This 14 Hands Merlot displays aromas of dark stone fruits and cherries with subtle notes of herbs. On the palate, flavors of plum, black cherry, blackberries and spice are complemented by soft, polished tannins.",,1559052,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607925/4fe4b536432cc067b7115.png?1682066353,,https://johnsonbrothers.storefronts.site/p/8Z5M2,,,,14 Hands Winery,Wine,Still,Red,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,Red
Pinot Grigio Columbia Valley,"Our Pinot Grigio is a juicy, refreshing wine with flavors of stone fruit, melon and light notes of honeysuckle. Pair this wine with grilled fish or seafood pasta.",,1512085,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607816/261c53a26c0645371f4b3.png?1682061388,,https://johnsonbrothers.storefronts.site/p/YRTZD,,,,14 Hands Winery,Wine,Still,White,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,White
Pinot Grigio Columbia Valley,"Our Pinot Grigio is a juicy, refreshing wine with flavors of stone fruit, melon and light notes of honeysuckle. Pair this wine with grilled fish or seafood pasta.",,1006810,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607816/261c53a26c0645371f4b3.png?1682061388,,https://johnsonbrothers.storefronts.site/p/YRTZD,,,,14 Hands Winery,Wine,Still,White,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,White
Pinot Grigio Columbia Valley,"Our Pinot Grigio is a juicy, refreshing wine with flavors of stone fruit, melon and light notes of honeysuckle. Pair this wine with grilled fish or seafood pasta.",,1202632,12,12.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607816/261c53a26c0645371f4b3.png?1682061388,,https://johnsonbrothers.storefronts.site/p/YRTZD,,,,14 Hands Winery,Wine,Still,White,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,White
Riesling,"This crisp Riesling shows bright flavors of apple, pear and apricot with an ideal balance of minerality and acidity, ending with an intriguing sweet, tart finish. This wine would be great as an aperitif, or would pair nicely with spicy chicken and seafood dishes.",,1958053,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607776/c1c6c608848202183ce16.png?1682061356,,https://johnsonbrothers.storefronts.site/p/YAXUB,,,,14 Hands Winery,Wine,Still,White,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,White
Rosé Columbia Valley,This Rosé opens with delicate aromas of rose petals and rhubarb. Refreshing flavors of melon and strawberries are followed closely by a kick of citrus in the finish.,,1368792,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607659/4057cd9916d0b3670a6c5.png?1682057491,,https://johnsonbrothers.storefronts.site/p/S5OYV,,,,14 Hands Winery,Wine,Still,Rosé,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,Rosé
Rosé Columbia Valley,This Rosé opens with delicate aromas of rose petals and rhubarb. Refreshing flavors of melon and strawberries are followed closely by a kick of citrus in the finish.,,1583154,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607659/4057cd9916d0b3670a6c5.png?1682057491,,https://johnsonbrothers.storefronts.site/p/S5OYV,,,,14 Hands Winery,Wine,Still,Rosé,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,Rosé
Run Wild Red Blend Columbia Valley,"14 Hands Winery from United States, provided by Chateau Ste Michelle. Enjoy the unique taste and quality.",,1981638,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607637/5c455435b678d8d07a5e7.png?1682057467,,https://johnsonbrothers.storefronts.site/p/W01GS,,,,14 Hands Winery,Wine,Still,Red,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,Red
Sauvignon Blanc Columbia Valley,"This vibrant Sauvignon Blanc opens with aromas of citrus and passion fruit. Bright flavors of gooseberry, grapefruit and guava lead to a crisp, juicy finish.",,1346229,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607175/0661a3f2ebadd7987d6aa.png?1681999306,,https://johnsonbrothers.storefronts.site/p/GAPUI,,,,14 Hands Winery,Wine,Still,White,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,White
Stampede Bold Red Blend Columbia Valley,"This robust red blend kicks things off with aromas of spice and cedar, leading to flavors of cola and cherry. A lighter oak regimen shows off the wine’s unique characteristics, including lively acidity and a dramatic enduring finish.",,1985618,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607145/dee3f23252b7bbe21e18a.png?1681999273,,https://johnsonbrothers.storefronts.site/p/WXRDX,,,,14 Hands Winery,Wine,Still,Red,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,Red
Unicorn Bubbles Columbia Valley,"This fresh and lively wine reveals aroma of white stone fruits and citrus, complemented by light floral notes. Flavors of pear, melon and lemon zest are balanced by crisp acidity, ending with a vibrant finish.",,1984581,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607057/13548da388ef0eade5c9b.png?1681994516,,https://johnsonbrothers.storefronts.site/p/GM7XM,,,,14 Hands Winery,Wine,Sparkling,White,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Sparkling,White
Unicorn Bubbles Rosé Columbia Valley Limited Release,"This light, fresh Rosé wine starts with elegant scents of cranberry, pomegranate and Bing cherry. Delicate red fruit flavors are joined by a pleasant effervescence and a juicy crispness that lead to a refreshing finish.
",,1962458,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2628371/c6da355608bda3d8f2538.png?1684255693,,https://johnsonbrothers.storefronts.site/p/OGH85,,,,14 Hands Winery,Wine,Sparkling,Rosé,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Sparkling,Rosé
Unicorn Bubbles Rosé Columbia Valley Limited Release,"This light, fresh Rosé wine starts with elegant scents of cranberry, pomegranate and Bing cherry. Delicate red fruit flavors are joined by a pleasant effervescence and a juicy crispness that lead to a refreshing finish.
",,1006935,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2628371/c6da355608bda3d8f2538.png?1684255693,,https://johnsonbrothers.storefronts.site/p/OGH85,,,,14 Hands Winery,Wine,Sparkling,Rosé,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Sparkling,Rosé
Vintage Series Red Blend Columbia Valley Limited Release,"14 Hands Winery from United States, provided by Chateau Ste Michelle. Enjoy the unique taste and quality.",,1751803,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247582/1beacf92a7eb9f65c94a2.png?1649422723,,https://johnsonbrothers.storefronts.site/p/CVBOV,,,,14 Hands Winery,Wine,Still,Red,,johnson brothers,Chateau Ste Michelle,United States,Alcohol,Wine,Still,Red
Sauvignon Blanc,"Bright yellow with green reflections. Dry, zesty, lemony citrus aromas. Citrus fruit on the palate, well balanced, with a crisp and refreshing acidity.",,1093514,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/241859/920767c8f2b152e7e67d9.png?1528471372,,https://johnsonbrothers.storefronts.site/p/CHP8L,,,,1749 Wines,Wine,Still,White,,johnson brothers,Bronco Wine Company,France,Alcohol,Wine,Still,White
Añejo Tequila 100% de Agave,"It is double distilled for a smoother, cleaner flavor and aged in French and American oak barrels for more than a year. The result is a rich, luxurious Tequila with notes of toasted oak and nutty toffee followed by a long peppery spice finish. ",,1734981,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247585/d604d0f02871882456c99.png?1649422727,,https://johnsonbrothers.storefronts.site/p/45FKJ,,,,1800 Tequila,Spirit,Tequila,Añejo,,johnson brothers,Proximo Spirits,Mexico,Alcohol,Spirit,Tequila,Añejo
Añejo Tequila 100% de Agave,"It is double distilled for a smoother, cleaner flavor and aged in French and American oak barrels for more than a year. The result is a rich, luxurious Tequila with notes of toasted oak and nutty toffee followed by a long peppery spice finish. ",,1455876,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247585/d604d0f02871882456c99.png?1649422727,,https://johnsonbrothers.storefronts.site/p/45FKJ,,,,1800 Tequila,Spirit,Tequila,Añejo,,johnson brothers,Proximo Spirits,Mexico,Alcohol,Spirit,Tequila,Añejo
Añejo Tequila 100% de Agave,"It is double distilled for a smoother, cleaner flavor and aged in French and American oak barrels for more than a year. The result is a rich, luxurious Tequila with notes of toasted oak and nutty toffee followed by a long peppery spice finish. ",,1497778,24,200.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247585/d604d0f02871882456c99.png?1649422727,,https://johnsonbrothers.storefronts.site/p/45FKJ,,,,1800 Tequila,Spirit,Tequila,Añejo,,johnson brothers,Proximo Spirits,Mexico,Alcohol,Spirit,Tequila,Añejo
