description,name,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
"Our Applewood Smoked Bacon boasts a harmonious blend of smoky, savory, and slightly sweet flavors, making it a standout choice for a variety of culinary applications. he bacon is perfectly balanced, offering a delightful crunch with every bite. What sets our Applewood Smoked Bacon apart is its versatility and mouthwatering flavor. Whether you're sizzling it to crispy perfection for a classic breakfast, layering it in a sandwich, or incorporating it into creative recipes, this bacon will bring a burst of savory goodness to your dishes.",Applewood Bacon,81810N,,15 LB Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/pork/81810n_0.jpg,,,,https://www.chefswarehouse.com/products/81810N/,MICHAELS,,,,MICHAEL'S FINER FOODS,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pork/81810n_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Bacon"",""sub-category"":""Bacon"",""sub-sub-category"":""Pork"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Pork"",""Level 3 Category"":""Bacon"",""Level 4 Category"":null,""product_variants"":""[{\""code\"":\""JDE_81810N-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""15 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""81810N\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_81810N-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""15 LB Case\""}}],\""businessUnit\"":\""200001\""}]""}"
This artisan-crafted Applewood Smoked Bacon is bursting with smoky and sweet flavors for an unforgettable bite that elevates bacon from side dish to superstar. This bacon is cured in rich maple syrup and brown sugar for days before being smoked over burning applewood embers. The result is a deliciously earthy bacon slab that pairs perfectly with a creamy macaroni and cheese or Angus beef sliders.,Applewood Smoked Bacon,M502,,4x6 LB BC,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/pork/m502_0.jpg,7.92E+11,,,https://www.chefswarehouse.com/products/M502/,NORTH COUNTRY SMOKE,,,,BUTCHER BLOCK INC,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pork/m502_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Bacon"",""sub-category"":""Bacon"",""sub-sub-category"":""Pork"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Pork"",""Level 3 Category"":""Bacon"",""Level 4 Category"":null,""product_variants"":""[{\""code\"":\""JDE_M502-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""4x6 LB BC\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""M502\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_M502-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""4x6 LB BC\""}}],\""businessUnit\"":\""200001\""},{\""code\"":\""JDE_M502-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""4x6 LB BC\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""M502\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_M502-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""4x6 LB BC\""}}],\""businessUnit\"":\""200001\""}]""}"
"Pork King Sweet Italian Sausage is a high-quality, spicy sausage that is perfect for a variety of dishes. It is made with a blend of pork and traditional Italian seasonings such as garlic, and fennel, giving it a bold flavor. It is perfect for grilling, frying, or baking and can be served as a main dish or as an addition to pasta, pizza, and sandwiches.",Sweet Italian Pork Sausage,MS100,,5 LB Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/sausage/ms100_0.jpg,7.56E+11,,,https://www.chefswarehouse.com/products/MS100/,PORK KING,,,,PORK KING,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/sausage/ms100_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Sausage"",""sub-category"":""Bacon & Sausage "",""sub-sub-category"":""Sausage"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Pork"",""Level 3 Category"":""Sausage"",""Level 4 Category"":null,""product_variants"":""[{\""code\"":\""JDE_MS100-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""5 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""MS100\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_MS100-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""PC\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""5 LB Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"Andouille, our spiciest suasage is a Louisiana hot-link sausage spiced with black, white, and red pepper and smoked for hours.",Cooked Andouille Sausage,M430,,2 x 5 LB Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/pork/m430_0.jpg,79154526041,,,https://www.chefswarehouse.com/products/M430/,NORTH COUNTRY SMOKE,,,,NORTH COUNTRY SMOKEHOUSE,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pork/m430_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Sausage"",""sub-category"":""Sausage"",""sub-sub-category"":""Pork"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Pork"",""Level 3 Category"":""Sausage"",""Level 4 Category"":null,""product_variants"":""[{\""code\"":\""JDE_M430-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""2 x 5 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""M430\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_M430-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""2 x 5 LB Case\""}}],\""businessUnit\"":\""200001\""},{\""code\"":\""JDE_M430-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""2 x 5 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""M430\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_M430-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""2 x 5 LB Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"Introducing Hardwood Smoked Bacon, a premium quality bacon that is perfect for adding a rich and savory flavor to your breakfast or any dish. This exquisite bacon is made from premium cuts of pork that are smoked with hardwood for an exceptional taste. Hardwood Smoked Bacon has a beautiful brown color and a rich aroma of smoked wood and savory meat. It has a perfectly balanced flavor that is not too salty, with a crisp texture that adds a delightful crunch to any dish.",14/18 Hardwood Smoked Bacon,M307N,,15 LB Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/pork/m307n_0.jpg,,,,https://www.chefswarehouse.com/products/M307N/,MICHAELS,,,,MICHAEL'S FINER FOODS,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pork/m307n_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Bacon"",""sub-category"":""Bacon"",""sub-sub-category"":""Pork"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Pork"",""Level 3 Category"":""Bacon"",""Level 4 Category"":null,""product_variants"":""[{\""code\"":\""JDE_M307N-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""15 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""M307N\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_M307N-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""15 LB Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"Our Allen Brothers 10/14 Applewood Smoked Bacon is a celebration of flavors that harmonize to perfection. With 10/14 slices per pound, each slice embodies the rich, smoky aroma and the salty-sweet profile that only premium bacon infused with applewood smoke can provide. What sets this bacon apart is the depth of smokiness it offers. The natural applewood smoke infuses each slice with a rich, woodsy flavor that elevates your dishes and tantalizes the taste buds of your diners. Use it to add a smoky twist to sandwiches, burgers, salads, or incorporate it into creative recipes that showcase the irresistible allure of 10/14 Applewood Smoked Bacon.",10/14 Applewood Bacon,BC37723,,15 LB Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/pork/bc37723_0.jpg,,,,https://www.chefswarehouse.com/products/BC37723/,ALLEN BROTHERS,,,,DEL MONTE MEATS,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pork/bc37723_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Bacon"",""sub-category"":""Bacon"",""sub-sub-category"":""Pork"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Pork"",""Level 3 Category"":""Bacon"",""Level 4 Category"":null,""product_variants"":""[{\""code\"":\""JDE_BC37723-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""15 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""BC37723\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_BC37723-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""15 LB Case\""}}],\""businessUnit\"":\""200001\""}]""}"
Sweet Italian Pork Sausage Bulk 5 lb,Sweet Italian Sausage,930007,,5 LB Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/sausage/930007_0.jpg,7.56E+11,,,https://www.chefswarehouse.com/products/930007/,PORK KING,,,,PORK KING,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/sausage/930007_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Sausage"",""sub-category"":""Bacon & Sausage "",""sub-sub-category"":""Sausage"",""supplier_name"":null,""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Pork"",""Level 3 Category"":""Sausage"",""Level 4 Category"":null,""product_variants"":""[{\""code\"":\""JDE_930007-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""5 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""930007\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_930007-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""PC\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""5 LB Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"Hobbs Thick Sliced Applewood Smoked Bacon is a symphony of smoky flavor. Each thick-cut slice is thoughtfully chosen and expertly smoked to perfection, ensuring impeccable quality and preserving the rich smokiness, savory essence, and irresistible aroma that define this exceptional bacon. Our Applewood Smoked Bacon offers a harmonious fusion of smoky, savory, and slightly sweet flavors, making it a standout choice for a variety of culinary applications. The thick-cut slices provide a satisfying crunch with every bite, adding a delightful texture to your dishes.",Thick Sliced Bacon,VNHASL04,,1x15 LB Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/bacon/vnhasl04_0.jpg,,,,https://www.chefswarehouse.com/products/VNHASL04/,HOBBS APPLEWOOD SMOK,,,,HOBBS'APPLEWOOD SMOKED MEAT CO,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/bacon/vnhasl04_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Pork"",""sub-category"":""Pork"",""sub-sub-category"":""Bacon"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Pork"",""Level 3 Category"":""Bacon"",""Level 4 Category"":null,""product_variants"":""[{\""code\"":\""JDE_VNHASL04-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""1x15 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""VNHASL04\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_VNHASL04-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""1x15 LB Case\""}}],\""businessUnit\"":\""200001\""}]""}"
This artisan-crafted Applewood Bacon is bursting with smoky and sweet flavors for an unforgettable bite that elevates bacon from side dish to superstar. This bacon is cured in rich maple syrup and brown sugar for days before being smoked over burning applewood embers. The result is a deliciously earthy bacon that pairs perfectly with a creamy macaroni and cheese or Angus beef sliders.,Applewood Bacon,109856,,1x10 LB Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/pork/109856_0.jpg,79154520403,,,https://www.chefswarehouse.com/products/109856/,NORTH COUNTRY SMOKE,,,,NORTH COUNTRY SMOKEHOUSE,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pork/109856_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Bacon"",""sub-category"":""Bacon"",""sub-sub-category"":""Pork"",""supplier_name"":null,""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Pork"",""Level 3 Category"":""Bacon"",""Level 4 Category"":null,""product_variants"":""[{\""code\"":\""JDE_109856-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""1x10 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""109856\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_109856-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""1x10 LB Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"We take our heritage breed pork bellies after they have been made into Bakers Dry Cured, Double Smoked Slabs of Bacon and vacuum seal in a “cook in” bag. With a slow cook for as much as 24 hours we don’t render the fat or lose any moisture from the protein. The result is this almost spreadable textured bacon, so soft you can cut with a fork. Truly delicious goodness.",Sous Vide Applewood Smoked Bacon,10523438,,2 x 6 LB Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/pork/10523438_0.jpg,,,,https://www.chefswarehouse.com/products/10523438/,BAKERS BACON,,,,BAKER'S BACON,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pork/10523438_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Bacon"",""sub-category"":""Bacon"",""sub-sub-category"":""Pork"",""supplier_name"":null,""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Pork"",""Level 3 Category"":""Bacon"",""Level 4 Category"":null,""product_variants"":""[{\""code\"":\""JDE_10523438-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""2 x 6 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""10523438\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_10523438-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""2 x 6 LB Case\""}}],\""businessUnit\"":\""200001\""}]""}"
